com,n_com,dgr_int,PY,TI,AU,UT,seed_com
8,38,0.32291227577299353,2021,A NOVEL APPROXIMATION OF SECURITY-CONSTRAINED OPTIMAL POWER FLOW WITH INCORPORATION OF GENERATOR FREQUENCY AND VOLTAGE CONTROL RESPONSE,AVRAMIDIS I-I;CAPITANESCU F;KARAGIANNOPOULOS S;VRETTOS E,2-S2.0-85104639348,FALSE
9,31,0.9834547520094608,2019,A DATA ANALYSIS APPROACH TO EVALUATE THE IMPACT OF THE CAPACITY UTILIZATION ON THE ENERGY CONSUMPTION OF WASTEWATER TREATMENT PLANTS,TORREGROSSA D;CASTELLET-VICIANO L;HERNÁNDEZ-SANCHO F,2-S2.0-85057580857,FALSE
9,31,0.8492288416982149,2017,PUMP EFFICIENCY ANALYSIS OF WASTE WATER TREATMENT PLANTS: A DATA MINING APPROACH USING SIGNAL DECOMPOSITION FOR DECISION MAKING,TORREGROSSA D;HANSEN J;HERNÁNDEZ-SANCHO F;CORNELISSEN A;SCHUTZ G;LEOPOLD U,2-S2.0-85026740646,FALSE
9,31,0.8378177207703693,2018,SK-DSSY: HOW TO INTEGRATE THE YOUTUBE PLATFORM IN A COOPERATIVE DECISION SUPPORT?,TORREGROSSA D;HANSEN J,2-S2.0-85048044061,FALSE
9,31,0.8030616341375809,2017,ENERGY SAVING IN WASTEWATER TREATMENT PLANTS: A PLANT-GENERIC COOPERATIVE DECISION SUPPORT SYSTEM,TORREGROSSA D;HERNÁNDEZ-SANCHO F;HANSEN J;CORNELISSEN A;POPOV T;SCHUTZ G,2-S2.0-85029715919,FALSE
9,31,0.6896247297716822,2017,A DATA-DRIVEN METHODOLOGY TO SUPPORT PUMP PERFORMANCE ANALYSIS AND ENERGY EFFICIENCY OPTIMIZATION IN WASTE WATER TREATMENT PLANTS,TORREGROSSA D;HANSEN J;HERNÁNDEZ-SANCHO F;CORNELISSEN A;SCHUTZ G;LEOPOLD U,2-S2.0-85029505715,FALSE
10,30,0.7324002148924789,2016,CHEMICAL STABILITY AND BIOACCESSIBILITY OF Β-CAROTENE ENCAPSULATED IN SODIUM ALGINATE O/W EMULSIONS: IMPACT OF CA2+ MEDIATED GELATION,SOUKOULIS C;CAMBIER S;HOFFMANN L;BOHN T,2-S2.0-84958232317,FALSE
10,30,0.6883317389850881,2020,"INFLUENCE OF SOY AND WHEY PROTEIN, GELATIN AND SODIUM CASEINATE ON CAROTENOID BIOACCESSIBILITY",IDDIR M;DINGEO G;PORRAS YARURO JF;HAMMAZ F;BOREL P;SCHLEEH T;DESMARCHELIER C;LARONDELLE Y;BOHN T,2-S2.0-85087111273,FALSE
10,30,0.6058676890868736,2016,EFFECT OF DIVALENT MINERALS ON THE BIOACCESSIBILITY OF PURE CAROTENOIDS AND ON PHYSICAL PROPERTIES OF GASTRO-INTESTINAL FLUIDS,CORTE-REAL J;IDDIR M;SOUKOULIS C;RICHLING E;HOFFMANN L;BOHN T,2-S2.0-84946615281,FALSE
10,30,0.5708902792670804,2017,MODULATION OF CHEMICAL STABILITY AND IN VITRO BIOACCESSIBILITY OF BETA-CAROTENE LOADED IN KAPPA-CARRAGEENAN OIL-IN-GEL EMULSIONS,SOUKOULIS C;TSEVDOU M;ANDRE CM;CAMBIER S;YONEKURA L;TAOUKIS PS;HOFFMANN L,2-S2.0-84991671510,FALSE
